ReturnType,IsVoidCall,CallerLayer,CalleeLayer,LayerRelation,ArgCount,HasLiteralArg,HasNullArg,HasBooleanArg,HasNestedInvocationArg,AssignedToVariable,ReturnedDirectly,PassedAsArgument,InIfCondition,InsideIfBody,InsideLoop,ReceiverCategory,ReceiverOrigin,MethodName,NamePattern,NameStartsWithGet,NameStartsWithFind,NameStartsWithSave,NameStartsWithDelete,NameStartsWithUpdate,NameContainsValidate,NameContainsCheck,BooleanLikeCall,ArgumentTypePattern,CallerMethodFanOut,CallerClassFanOut,CalleeMethodFanIn,GuardedByIf,GuardedByNullCheck,GuardedByBooleanCheck,GuardedByInstanceofCheck,PrecededByGuardClause,ReceiverIsProjectType,ReceiverIsExternalType,ReceiverIsFieldDependency,NameStartsWithNotify,NameStartsWithPublish,NameStartsWithEmit,NameStartsWithDispatch,NameStartsWithFire,NameStartsWithSend,ReceiverLooksLikeObserverPublisher,ReceiverLooksLikeEventBus,ReceiverLooksLikeListenerRegistry,AnyArgumentLooksLikeEvent,AnyArgumentLooksLikeMessage,FollowsStateMutationNearby,CrossLayerCall,CallsDependencyField,InsideDelegationChain,HasChainedOrNestedDelegation,ReturnsBoolean,ReturnsCollection,ReturnsOptional,ReturnsProjectType,ReturnsExternalType,MethodLooksAccessor,MethodLooksMutator,CallerLooksControllerMethod,CalleeLooksQueryMethod,CalleeLooksCommandMethod,CalleeLooksValidatorMethod,PreviousStatementContainsMutation,InvocationResultUsedInComparison,InvocationResultUsedInNullCheck,InvocationFeedsAnotherCall,IsFactoryLikeCall,ReturnsNewProjectType,MethodNameStartsWithCreate,MethodNameStartsWithBuild,MethodNameStartsWithOf,MethodNameStartsWithFrom,ReceiverLooksLikeFactory,ResultUsageKind,CalleeNameAction,ComputeTransformNameHint,CalleeBodySummary,CalleeAnnotations,ReceiverFieldInjectedDependency,IsLoggingCall,ManualLabel
void,true,other,external,other->external,1,true,false,false,false,true,false,true,false,false,false,static_type,STATIC,newArrayList,other,false,false,false,false,false,false,false,false,STRING_LITERAL,8,10,2,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,ASSIGNED|PASSED_AS_ARGUMENT,CREATION,NONE,UNRESOLVED,UNRESOLVED,false,false,Creational
void,true,other,unknown,other->unknown,1,false,false,false,true,false,false,false,false,false,false,chained_call,CHAINED,andExpect,other,false,false,false,false,false,false,false,false,INVOCATION,11,2,28,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,CHAINED,OTHER,NONE,UNRESOLVED,UNRESOLVED,false,false,Validate/Guard
void,true,controller,controller,controller->controller,3,true,true,false,true,false,false,false,false,false,false,controller,THIS,putBackground,other,false,false,false,false,false,false,false,false,STRING_LITERAL|NULL|CtLambdaImpl,2,68,19,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,MUTATOR,NONE,NONE,NONE,false,false,Command/Mutate
void,true,other,unknown,other->unknown,1,false,false,false,false,false,false,false,false,false,false,domain_or_internal,THIS,assertThat,other,false,false,false,false,false,false,false,false,VARIABLE,8,10,5,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,CHAINED,VALIDATOR,NONE,UNRESOLVED,UNRESOLVED,false,false,Validate/Guard
nl.tudelft.jpacman.game.Game,false,other,other,other->other,0,false,false,false,false,false,false,false,false,false,false,domain_or_internal,THIS,getGame,query,true,false,false,false,false,false,false,false,NONE,6,4,1,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,CHAINED,ACCESSOR,NONE,RETURNS_VALUE,NONE,false,false,Query/Retrieve
java.lang.String,false,other,external,other->external,1,false,false,false,false,false,true,false,false,false,false,variable,PARAMETER,getString,query,true,false,false,false,false,false,false,false,VARIABLE,2,9,5,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,RETURNED,ACCESSOR,NONE,UNRESOLVED,UNRESOLVED,false,false,Query/Retrieve
void,true,other,external,other->external,1,false,false,false,false,false,false,false,false,false,false,field,FIELD,setOnLongClickListener,command,false,false,false,false,false,false,false,false,THIS,18,32,1,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,IGNORED,MUTATOR,NONE,UNRESOLVED,UNRESOLVED,false,false,Command/Mutate
void,true,other,external,other->external,2,false,false,false,false,false,false,false,false,false,false,static_type,STATIC,assertEquals,other,false,false,false,false,false,false,false,false,VARIABLE|VARIABLE,13,12,12,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,IGNORED,VALIDATOR,NONE,UNRESOLVED,UNRESOLVED,false,false,Validate/Guard
void,true,other,domain,other->domain,1,true,false,false,false,false,false,false,false,false,false,domain_or_internal,LOCAL,setName,command,false,false,false,false,false,false,false,false,STRING_LITERAL,11,10,12,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,IGNORED,MUTATOR,NONE,WRITES_FIELD|ASSIGNS_VARIABLE,MappedSuperclass,false,false,Command/Mutate
void,true,other,external,other->external,1,false,false,false,true,false,false,false,false,false,false,field,FIELD,perform,other,false,false,false,false,false,false,false,false,INVOCATION,8,10,28,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,CHAINED,OTHER,NONE,UNRESOLVED,UNRESOLVED,true,false,Control/Orchestrate
java.util.Optional,false,other,other,other->other,1,false,false,false,false,false,false,true,false,false,false,repository,FIELD,findById,query,false,true,false,false,false,false,false,false,VARIABLE,19,19,15,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,true,false,false,true,false,true,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,PASSED_AS_ARGUMENT,FINDER,NONE,UNRESOLVED,NONE,true,false,Query/Retrieve
void,true,other,unknown,other->unknown,1,false,false,false,false,false,false,false,false,false,false,chained_call,CHAINED,isEqualTo,guard,false,false,false,false,false,false,false,true,VARIABLE,4,7,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,CHAINED,EXISTENCE_CHECK,NONE,UNRESOLVED,UNRESOLVED,false,false,Validate/Guard
java.lang.Object,false,other,external,other->external,2,true,false,false,false,false,false,false,false,false,false,collection,PARAMETER,put,other,false,false,false,false,false,false,false,false,STRING_LITERAL|VARIABLE,4,3,32,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,MUTATOR,NONE,UNRESOLVED,UNRESOLVED,false,false,Command/Mutate
void,true,other,unknown,other->unknown,1,false,false,false,true,false,false,false,false,false,false,controller,THIS,assertThat,other,false,false,false,false,false,false,false,false,INVOCATION,10,6,9,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,CHAINED,VALIDATOR,NONE,UNRESOLVED,UNRESOLVED,false,false,Validate/Guard
org.springframework.data.domain.Page,false,other,other,other->other,2,false,false,false,true,false,false,true,false,false,false,repository,FIELD,findByLastNameStartingWith,query,false,true,false,false,false,false,false,false,INVOCATION|INVOCATION,17,19,7,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,PASSED_AS_ARGUMENT,FINDER,NONE,UNRESOLVED,NONE,true,false,Query/Retrieve
com.fsck.k9.mail.Message,false,other,other,other->other,2,true,false,false,false,true,false,false,false,false,false,static_type,STATIC,createTextMessage,command,false,false,false,false,false,false,false,false,STRING_LITERAL|BINARY,3,3,4,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,true,false,false,false,false,ASSIGNED,CREATION,NONE,RETURNS_VALUE,NONE,false,false,Creational
nl.tudelft.jpacman.sprite.PacManSprites,false,other,other,other->other,0,false,false,false,false,false,true,true,false,false,false,domain_or_internal,THIS,getSprites,query,true,false,false,false,false,false,false,false,NONE,3,2,1,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,true,RETURNED|PASSED_AS_ARGUMENT|CHAINED,ACCESSOR,NONE,RETURNS_VALUE,NONE,false,false,Query/Retrieve
java.util.List,false,other,other,other->other,2,false,false,false,false,true,false,false,false,false,false,static_type,STATIC,findMultipartSignedParts,query,false,true,false,false,false,false,false,false,VARIABLE|VARIABLE,9,9,10,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,ASSIGNED,FINDER,NONE,ASSIGNS_VARIABLE|CALLS_MUTATOR|RETURNS_VALUE,NONE,false,false,Command/Mutate
void,true,other,unknown,other->unknown,0,false,false,false,false,true,false,true,false,false,false,chained_call,CHAINED,build,other,false,false,false,false,false,false,false,false,NONE,7,7,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,true,false,false,false,ASSIGNED|PASSED_AS_ARGUMENT|CHAINED,CREATION,BUILD,UNRESOLVED,UNRESOLVED,false,false,Compute/Transform
boolean,false,other,external,other->external,1,false,false,false,false,false,false,false,false,false,false,collection,FIELD,add,command,false,false,false,false,false,false,false,true,VARIABLE,1,17,3,false,false,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,MUTATOR,NONE,UNRESOLVED,UNRESOLVED,true,false,Command/Mutate
java.time.LocalDate,false,controller,external,controller->external,0,false,false,false,false,true,false,false,false,false,false,static_type,STATIC,now,other,false,false,false,false,false,false,false,false,NONE,13,16,6,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,ASSIGNED,OTHER,NONE,UNRESOLVED,UNRESOLVED,false,false,Query/Retrieve
void,true,controller,controller,controller->controller,0,false,false,false,false,false,false,false,false,false,false,controller,FIELD,stop,other,false,false,false,false,false,false,false,false,NONE,3,19,1,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,IGNORED,OTHER,NONE,WRITES_FIELD|ASSIGNS_VARIABLE,VisibleForTesting,true,false,Command/Mutate
void,true,other,unknown,other->unknown,0,false,false,false,false,false,false,false,false,false,false,chained_call,CHAINED,isEmpty,guard,false,false,false,false,false,false,false,true,NONE,8,10,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,CHAINED,EXISTENCE_CHECK,NONE,UNRESOLVED,UNRESOLVED,false,false,Validate/Guard
void,true,other,unknown,other->unknown,1,false,false,false,false,false,false,false,false,false,false,chained_call,CHAINED,registerType,other,false,false,false,false,false,false,false,false,VARIABLE,4,2,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,CHAINED,OTHER,NONE,UNRESOLVED,UNRESOLVED,false,false,Control/Orchestrate
void,true,other,other,other->other,1,false,false,false,false,false,false,false,false,true,true,domain_or_internal,LOCAL,setCryptoStatus,command,false,false,false,false,false,false,false,false,VARIABLE,17,15,2,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,MUTATOR,NONE,WRITES_FIELD|ASSIGNS_VARIABLE,NONE,false,false,Command/Mutate
void,true,other,external,other->external,1,false,false,false,true,false,false,false,false,false,false,field,FIELD,perform,other,false,false,false,false,false,false,false,false,INVOCATION,9,19,28,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,CHAINED,OTHER,NONE,UNRESOLVED,UNRESOLVED,true,false,Control/Orchestrate
void,true,other,other,other->other,1,false,false,false,false,false,false,false,false,false,false,domain_or_internal,FIELD,registerPlayer,other,false,false,false,false,false,false,false,false,VARIABLE,5,5,4,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,OTHER,NONE,WRITES_FIELD|ASSIGNS_VARIABLE|CALLS_MUTATOR,SuppressWarnings,false,false,Command/Mutate
void,true,other,other,other->other,1,false,false,false,false,false,false,false,false,false,false,domain_or_internal,FIELD,setBirthDate,command,false,false,false,false,false,false,false,false,VARIABLE,6,5,7,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,true,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,IGNORED,MUTATOR,NONE,WRITES_FIELD|ASSIGNS_VARIABLE,Entity|Table,false,false,Command/Mutate
java.util.ArrayList,false,other,other,other->other,0,false,false,false,false,false,false,false,true,false,false,domain_or_internal,FIELD,createAttachmentList,command,false,false,false,false,false,false,false,false,NONE,8,72,2,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,true,true,false,true,false,false,false,false,USED_IN_CONDITION|CHAINED,CREATION,NONE,CALLS_MUTATOR|RETURNS_VALUE,NONE,false,false,Creational
void,true,other,other,other->other,0,false,false,false,false,false,false,false,false,true,false,domain_or_internal,THIS,notifyObserversLevelRespawn,other,false,false,false,false,false,false,false,false,NONE,6,17,1,true,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,NOTIFICATION,NONE,NONE,SuppressWarnings,false,false,Notify/Publish
void,true,other,other,other->other,0,false,false,false,false,false,false,false,false,false,false,domain_or_internal,THIS,stop,other,false,false,false,false,false,false,false,false,NONE,1,3,4,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,OTHER,NONE,WRITES_FIELD|ASSIGNS_VARIABLE,NONE,false,false,Command/Mutate
void,true,other,unknown,other->unknown,3,true,false,false,false,false,false,false,false,false,false,controller,THIS,post,other,false,false,false,false,false,false,false,false,STRING_LITERAL|VARIABLE|VARIABLE,11,2,5,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,CHAINED,OTHER,NONE,UNRESOLVED,UNRESOLVED,false,false,Control/Orchestrate
void,true,other,other,other->other,2,false,false,false,false,false,false,false,false,false,false,domain_or_internal,THIS,log,other,false,false,false,false,false,false,false,false,VARIABLE|VARIABLE,12,15,1,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,IGNORED,LOGGER,NONE,NONE,Disabled,false,false,Unknown/Mixed
java.lang.String,false,other,unknown,other->unknown,1,false,false,false,false,true,false,false,false,false,true,chained_call,CHAINED,getString,query,true,false,false,false,false,false,false,false,VARIABLE,15,15,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,ASSIGNED|CHAINED,ACCESSOR,NONE,UNRESOLVED,UNRESOLVED,false,false,Query/Retrieve
void,true,controller,controller,controller->controller,3,false,false,false,false,false,false,false,false,true,false,controller,THIS,removeFlagFromCache,command,false,false,false,false,false,false,false,false,VARIABLE|VARIABLE|VARIABLE,20,68,1,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,IGNORED,DELETION,NONE,CALLS_MUTATOR,NONE,false,false,Command/Mutate
nl.tudelft.jpacman.board.Square,false,other,other,other->other,1,false,false,false,false,true,false,false,false,false,true,domain_or_internal,LOCAL,getSquareAt,query,true,false,false,false,false,false,false,false,VARIABLE,10,10,10,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,ASSIGNED,ACCESSOR,NONE,RETURNS_VALUE,NONE,false,false,Query/Retrieve
void,true,other,external,other->external,1,false,false,false,true,false,false,false,false,false,false,static_type,STATIC,when,other,false,false,false,false,false,false,false,false,INVOCATION,10,13,34,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,CHAINED,OTHER,NONE,UNRESOLVED,UNRESOLVED,false,false,Control/Orchestrate
void,true,other,external,other->external,1,false,false,false,true,false,false,false,false,false,false,static_type,STATIC,when,other,false,false,false,false,false,false,false,false,INVOCATION,14,9,34,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,CHAINED,OTHER,NONE,UNRESOLVED,UNRESOLVED,false,false,Control/Orchestrate
java.io.BufferedReader,false,other,external,other->external,1,false,false,false,false,true,false,false,false,false,true,static_type,STATIC,newBufferedReader,other,false,false,false,false,false,false,false,false,VARIABLE,23,16,1,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,ASSIGNED,CREATION,NONE,UNRESOLVED,UNRESOLVED,false,false,Creational
java.util.List,false,other,other,other->other,3,false,false,false,true,true,false,false,false,false,false,static_type,STATIC,shortestPath,other,false,false,false,false,false,false,false,false,VARIABLE|VARIABLE|INVOCATION,8,10,9,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,ASSIGNED,OTHER,NONE,CALLS_MUTATOR|RETURNS_VALUE|RETURNS_NEW_OBJECT,NONE,false,false,Compute/Transform
boolean,false,other,external,other->external,0,false,false,false,false,false,false,false,true,false,false,variable,LOCAL,find,query,false,true,false,false,false,false,false,true,NONE,7,9,5,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,USED_IN_CONDITION,FINDER,NONE,UNRESOLVED,UNRESOLVED,false,false,Validate/Guard
void,true,other,external,other->external,1,false,false,false,false,true,false,true,false,false,false,static_type,STATIC,mock,other,false,false,false,false,false,false,false,false,VARIABLE,8,10,13,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,ASSIGNED|PASSED_AS_ARGUMENT,OTHER,NONE,UNRESOLVED,UNRESOLVED,false,false,Control/Orchestrate
